"Distributions of household economic accounts, income, consumption and saving, Canada, provinces and territories, annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0588-01 (formerly CANSIM 378-0153),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Geography,Canada 1,,,,,,,,,,Newfoundland and Labrador 1,,,,,,,,,,Prince Edward Island 1,,,,,,,,,,Nova Scotia 1,,,,,,,,,,New Brunswick 1,,,,,,,,,,Quebec 1,,,,,,,,,,Ontario 1,,,,,,,,,,Manitoba 1,,,,,,,,,,Saskatchewan 1,,,,,,,,,,Alberta 1,,,,,,,,,,British Columbia 1,,,,,,,,,,Yukon 1,,,,,,,,,,Northwest Territories 1,,,,,,,,,,Nunavut 1,,,,,,,,,
,Social transfers in kind (STiK): health,"6,467",,"6,605",,"6,797",,"7,234",,"8,084",,"7,471",,"7,721",,"7,688",,"7,970",,"8,876",,"6,543",,"6,261",,"5,982",,"6,196",,"7,191",,"7,351",,"7,575",,"7,820",,"8,040",,"8,642",,"7,024",,"7,106",,"7,173",,"7,598",,"8,192",,"6,553",,"6,740",,"6,963",,"7,694",,"8,336",,"6,051",,"6,130",,"6,220",,"6,491",,"7,719",,"8,232",,"8,446",,"8,891",,"9,447",,"10,192",,"7,325",,"7,365",,"7,509",,"7,743",,"8,283",,"6,414",,"6,583",,"6,972",,"7,538",,"7,710",,"6,249",,"6,433",,"6,714",,"7,084",,"7,960",,"12,820",,"12,485",,"11,680",,"12,148",,"12,156",,"19,441",,"19,962",,"18,055",,"20,430",,"22,325",,"23,940",,"25,918",,"28,037",,"31,156",,"30,114",
,Social transfers in kind (STiK): other,"2,493",,"2,625",,"2,706",,"2,767",,"2,761",,"1,855",,"1,910",,"1,876",,"1,912",,"2,014",,"2,015",,"2,090",,"2,083",,"2,122",,"2,178",,"2,378",,"2,466",,"2,452",,"2,629",,"2,681",,"2,154",,"2,222",,"2,251",,"2,271",,"2,366",,"1,935",,"2,039",,"2,106",,"2,156",,"2,164",,"2,808",,"2,989",,"3,017",,"3,125",,"3,041",,"3,204",,"3,275",,"3,703",,"3,900",,"3,804",,"2,413",,"2,512",,"2,661",,"2,749",,"2,761",,"2,558",,"2,667",,"2,776",,"2,705",,"2,676",,"2,313",,"2,418",,"2,575",,"2,558",,"2,746",,"7,552",,"7,712",,"6,890",,"7,607",,"8,007",,"12,646",,"12,945",,"12,900",,"14,086",,"14,300",,"14,415",,"15,159",,"16,481",,"18,663",,"17,981",
,Adjusted household disposable income,"60,747",,"62,185",,"64,072",,"68,525",,"70,818",,"61,525",,"62,420",,"62,238",,"63,689",,"69,831",,"55,045",,"55,054",,"54,794",,"57,194",,"64,339",,"55,843",,"57,666",,"58,621",,"62,247",,"64,940",,"56,108",,"57,019",,"57,219",,"60,265",,"64,038",,"53,126",,"54,506",,"56,539",,"60,949",,"63,503",,"61,035",,"63,055",,"64,456",,"69,432",,"71,828",,"61,475",,"61,572",,"63,627",,"68,290",,"69,916",,"66,313",,"65,997",,"67,083",,"71,700",,"70,953",,"70,789",,"71,592",,"75,095",,"78,180",,"77,347",,"63,980",,"65,240",,"67,936",,"72,509",,"76,573",,"94,944",,"95,455",,"86,969",,"95,870",,"102,659",,"110,310",,"111,733",,"105,606",,"121,659",,"128,009",,"110,469",,"112,621",,"116,640",,"132,470",,"128,757",
,Household final consumption expenditure (HFCE),"48,519",,"50,183",,"51,125",,"47,897",,"51,067",,"48,105",,"48,403",,"48,041",,"46,250",,"50,951",,"43,474",,"44,490",,"43,930",,"43,296",,"51,659",,"45,911",,"47,142",,"48,012",,"45,489",,"50,472",,"45,114",,"46,153",,"46,043",,"45,576",,"49,079",,"41,419",,"42,767",,"44,252",,"42,306",,"45,535",,"49,896",,"51,728",,"52,692",,"47,701",,"50,063",,"46,565",,"47,903",,"48,475",,"45,155",,"48,744",,"49,785",,"51,077",,"51,253",,"47,971",,"51,345",,"53,737",,"55,181",,"55,656",,"52,322",,"53,574",,"54,004",,"56,493",,"57,384",,"55,954",,"62,169",,"54,308",,"54,769",,"51,272",,"54,577",,"57,493",,"60,711",,"62,432",,"58,186",,"63,394",,"67,299",,"43,526",,"43,800",,"45,538",,"47,462",,"46,453",
,Food and non-alcoholic beverages,"4,399",,"4,442",,"4,556",,"4,993",,"4,989",,"4,670",,"4,598",,"4,603",,"5,160",,"5,336",,"4,047",,"4,108",,"4,088",,"4,665",,"5,220",,"4,027",,"4,112",,"4,218",,"4,613",,"4,810",,"4,193",,"4,163",,"4,188",,"4,790",,"4,833",,"4,197",,"4,209",,"4,391",,"4,905",,"4,942",,"4,376",,"4,423",,"4,534",,"4,830",,"4,746",,"4,137",,"4,117",,"4,191",,"4,533",,"4,592",,"4,244",,"4,224",,"4,264",,"4,624",,"4,637",,"4,661",,"4,680",,"4,744",,"5,216",,"5,001",,"4,758",,"4,913",,"5,012",,"5,672",,"5,914",,"4,719",,"4,829",,"4,534",,"5,638",,"5,582",,"6,665",,"6,771",,"6,329",,"7,918",,"7,926",,"6,146",,"6,045",,"6,299",,"7,483",,"6,938",
,Alcoholic beverages and tobacco,"1,821",,"1,938",,"1,909",,"1,972",,"1,962",,"2,625",,"2,717",,"2,629",,"2,792",,"2,879",,"1,954",,"2,062",,"1,975",,"2,125",,"2,368",,"2,167",,"2,318",,"2,281",,"2,343",,"2,429",,"2,033",,"2,083",,"2,019",,"2,181",,"2,193",,"1,681",,"1,795",,"1,807",,"1,906",,"1,913",,"1,654",,"1,767",,"1,736",,"1,735",,"1,694",,"2,122",,"2,190",,"2,147",,"2,192",,"2,211",,"2,091",,"2,139",,"2,082",,"2,135",,"2,135",,"2,070",,"2,161",,"2,108",,"2,185",,"2,086",,"1,969",,"2,171",,"2,127",,"2,263",,"2,347",,"2,475",,"2,512",,"2,274",,"2,670",,"2,636",,"3,278",,"3,462",,"3,129",,"3,709",,"3,706",,"2,949",,"2,332",,"2,301",,"2,544",,"2,339",
,Clothing and footwear,"1,978",,"2,468",,"2,499",,"1,966",,"2,264",,"1,773",,"2,296",,"2,272",,"1,829",,"2,185",,"1,630",,"2,167",,"2,130",,"1,745",,"2,249",,"1,608",,"2,015",,"2,043",,"1,604",,"1,930",,"1,677",,"2,072",,"2,060",,"1,692",,"1,971",,"1,868",,"2,298",,"2,367",,"1,900",,"2,207",,"2,058",,"2,576",,"2,607",,"1,996",,"2,262",,"1,780",,"2,217",,"2,227",,"1,734",,"2,021",,"1,877",,"2,457",,"2,449",,"1,911",,"2,209",,"2,170",,"2,650",,"2,653",,"2,097",,"2,319",,"1,995",,"2,545",,"2,564",,"2,084",,"2,508",,"1,052",,"1,454",,"1,348",,"1,204",,"1,374",,"2,545",,"3,272",,"3,022",,"2,715",,"3,141",,"3,164",,"3,898",,"4,019",,"3,422",,"3,679",
,"Housing, water, electricity, gas and other fuels","11,583",,"10,985",,"11,400",,"11,799",,"12,135",,"10,952",,"9,920",,"10,032",,"10,566",,"11,210",,"9,872",,"9,525",,"9,581",,"10,248",,"11,800",,"11,849",,"11,308",,"11,725",,"12,023",,"12,886",,"10,879",,"10,007",,"10,167",,"10,921",,"11,319",,"8,815",,"8,284",,"8,745",,"9,217",,"9,549",,"11,514",,"10,867",,"11,279",,"11,334",,"11,466",,"11,640",,"10,801",,"11,130",,"11,362",,"11,827",,"13,282",,"12,309",,"12,578",,"12,873",,"13,280",,"13,321",,"12,557",,"12,895",,"13,387",,"13,210",,"14,840",,"14,646",,"15,143",,"16,178",,"17,362",,"17,544",,"16,828",,"16,009",,"18,746",,"19,084",,"19,845",,"18,510",,"17,489",,"20,517",,"21,154",,"15,727",,"14,675",,"15,508",,"17,395",,"16,608",
,"Furnishings, household equipment and other goods and services related to the dwelling and property","2,616",,"3,044",,"3,115",,"3,299",,"3,609",,"2,502",,"2,821",,"2,825",,"3,081",,"3,472",,"2,334",,"2,734",,"2,716",,"3,021",,"3,696",,"2,249",,"2,683",,"2,755",,"2,922",,"3,322",,"2,614",,"3,014",,"3,030",,"3,380",,"3,719",,"2,369",,"2,743",,"2,855",,"3,082",,"3,397",,"2,637",,"3,064",,"3,134",,"3,218",,"3,468",,"2,625",,"3,015",,"3,069",,"3,233",,"3,578",,"2,632",,"3,036",,"3,064",,"3,246",,"3,550",,"2,867",,"3,312",,"3,351",,"3,563",,"3,735",,"2,868",,"3,416",,"3,476",,"3,802",,"4,351",,"2,276",,"2,643",,"2,481",,"3,059",,"3,321",,"2,470",,"2,894",,"2,702",,"3,329",,"3,604",,"2,187",,"2,508",,"2,607",,"3,085",,"3,117",
,Health,"2,102",,"2,044",,"2,100",,"1,919",,"2,076",,"1,879",,"1,772",,"1,776",,"1,713",,"1,890",,"1,745",,"1,771",,"1,766",,"1,706",,"2,051",,"2,006",,"1,991",,"2,045",,"1,876",,"2,113",,"2,142",,"2,089",,"2,105",,"2,027",,"2,203",,"1,978",,"1,926",,"2,013",,"1,905",,"2,068",,"2,134",,"2,073",,"2,129",,"1,889",,"2,012",,"1,963",,"1,878",,"1,915",,"1,733",,"1,910",,"2,051",,"1,973",,"1,994",,"1,830",,"1,976",,"2,357",,"2,248",,"2,282",,"2,067",,"2,142",,"2,124",,"2,115",,"2,161",,"2,008",,"2,288",,"1,452",,"1,386",,"1,304",,"1,331",,"1,450",,"1,251",,"1,256",,"1,176",,"1,213",,"1,327",,912,,921,,962,,946,,955,
,Transport,"7,597",,"8,297",,"8,224",,"6,348",,"7,188",,"8,556",,"9,035",,"8,736",,"6,982",,"8,245",,"7,643",,"8,089",,"7,766",,"6,404",,"8,210",,"7,317",,"7,737",,"7,639",,"6,041",,"7,228",,"7,691",,"8,235",,"7,973",,"6,634",,"7,695",,"6,756",,"7,361",,"7,376",,"5,872",,"6,722",,"8,089",,"8,923",,"8,840",,"6,556",,"7,295",,"6,917",,"7,556",,"7,465",,"5,807",,"6,687",,"7,484",,"8,047",,"7,875",,"6,280",,"7,189",,"8,054",,"8,662",,"8,541",,"6,633",,"7,189",,"7,444",,"8,175",,"8,093",,"6,455",,"7,611",,"8,004",,"7,736",,"7,079",,"5,882",,"6,577",,"7,523",,"7,981",,"7,338",,"6,681",,"7,550",,"3,360",,"3,574",,"3,638",,"2,618",,"2,770",
,Communications,"1,329",,"1,283",,"1,310",,"1,293",,"1,290",,"1,614",,"1,512",,"1,508",,"1,524",,"1,573",,"1,371",,"1,351",,"1,340",,"1,377",,"1,538",,"1,417",,"1,399",,"1,430",,"1,411",,"1,469",,"1,365",,"1,303",,"1,307",,"1,347",,"1,356",,"1,099",,"1,057",,"1,099",,"1,106",,"1,113",,"1,369",,"1,320",,"1,349",,"1,296",,"1,272",,"1,328",,"1,256",,"1,274",,"1,242",,"1,256",,"1,463",,"1,384",,"1,392",,"1,361",,"1,362",,"1,504",,"1,437",,"1,451",,"1,438",,"1,376",,"1,384",,"1,373",,"1,395",,"1,425",,"1,485",,"1,248",,"1,199",,"1,122",,"1,258",,"1,246",,"1,563",,"1,505",,"1,401",,"1,579",,"1,580",,"1,046",,976,,"1,013",,"1,086",,"1,005",
,Recreation and culture,"3,924",,"4,466",,"4,485",,"4,233",,"4,603",,"3,708",,"4,105",,"4,011",,"3,945",,"4,457",,"3,233",,"3,717",,"3,624",,"3,772",,"4,613",,"3,513",,"4,111",,"4,133",,"4,025",,"4,573",,"3,760",,"4,349",,"4,284",,"4,398",,"4,851",,"3,111",,"3,544",,"3,621",,"3,546",,"3,881",,"3,986",,"4,524",,"4,556",,"4,140",,"4,415",,"4,423",,"4,931",,"4,912",,"4,527",,"5,013",,"4,515",,"5,055",,"4,978",,"4,561",,"5,008",,"4,786",,"5,417",,"5,376",,"5,051",,"5,290",,"4,322",,"5,013",,"5,007",,"4,889",,"5,582",,"4,115",,"4,936",,"4,548",,"5,180",,"5,655",,"4,470",,"5,049",,"4,609",,"5,312",,"5,813",,"2,424",,"2,774",,"2,822",,"3,175",,"3,242",
,Education,830,,641,,665,,639,,646,,397,,377,,381,,377,,395,,730,,668,,672,,676,,766,,818,,550,,571,,557,,590,,466,,440,,447,,454,,465,,503,,410,,431,,419,,427,,"1,069",,794,,823,,776,,773,,552,,475,,489,,467,,479,,526,,462,,472,,454,,462,,742,,644,,658,,632,,613,,"1,065",,776,,799,,793,,838,,236,,290,,274,,294,,294,,393,,715,,674,,739,,750,,292,,496,,521,,541,,508,
,"Food, beverage and accommodation services","3,471",,"3,831",,"3,947",,"2,691",,"3,114",,"3,248",,"3,366",,"3,381",,"2,373",,"2,847",,"3,426",,"2,828",,"2,829",,"2,022",,"2,618",,"3,021",,"2,985",,"3,079",,"2,119",,"2,555",,"2,599",,"2,853",,"2,887",,"2,076",,"2,422",,"3,104",,"3,336",,"3,493",,"2,436",,"2,850",,"3,521",,"4,062",,"4,186",,"2,781",,"3,168",,"2,813",,"3,458",,"3,537",,"2,393",,"2,808",,"3,044",,"3,688",,"3,739",,"2,531",,"2,944",,"3,907",,"4,311",,"4,394",,"3,017",,"3,349",,"4,096",,"4,147",,"4,254",,"2,960",,"3,580",,"5,940",,"5,800",,"5,466",,"4,001",,"4,630",,"4,866",,"5,238",,"4,919",,"3,760",,"4,377",,"1,968",,"2,363",,"2,474",,"1,707",,"1,849",
,Insurance and financial services,"4,342",,"4,111",,"4,198",,"4,274",,"4,550",,"3,607",,"3,324",,"3,305",,"3,465",,"3,785",,"3,211",,"3,116",,"3,076",,"3,270",,"3,860",,"3,298",,"3,202",,"3,265",,"3,324",,"3,678",,"3,275",,"3,081",,"3,074",,"3,275",,"3,484",,"3,738",,"3,530",,"3,662",,"3,812",,"4,089",,"4,767",,"4,508",,"4,602",,"4,561",,"4,774",,"3,854",,"3,560",,"3,606",,"3,630",,"3,895",,"4,143",,"3,830",,"3,850",,"3,885",,"4,156",,"4,770",,"4,458",,"4,508",,"4,606",,"4,746",,"4,530",,"4,403",,"4,481",,"4,715",,"5,273",,"2,987",,"2,810",,"2,622",,"3,033",,"3,200",,"3,274",,"3,074",,"2,857",,"3,314",,"3,543",,"1,250",,"1,140",,"1,183",,"1,307",,"1,293",
